Node_ID,Node_Name,Time_BP_Lower,Time_BP_Upper,Time_BP_Median,Unit,Primary_Reference,Recent_Reference,Dating_Rationale,Notes
1,Emergence of Genus Homo,3000000,3000000,3000000.0,years BP,"Weiner, J.S., 1962. The pattern of evolutionary development of the genus Homo. In Ideas on Human Evolution: Selected Essays, 1949–1961 (pp. 521–532). Harvard University Press.","Ponce de León, M.S. et al., 2021. The primitive brain of early Homo. Science 372(6538): 165–171.",Deep-time estimate expressed in years BP; point estimate used for modeling.,Time_label: ~3 Ma. Approximate timing for earliest Homo (ca. 3 Ma) reported in paleoanthropological literature.
2,Systematic Stone Tool Use,2500000,2500000,2500000.0,years BP,"Binford, S.R. & Binford, L.R., 1969. Stone tools and human behavior. Scientific American 220(4): 70–87.","Lewis, J.E. & Harmand, S., 2016. An earlier origin for stone tool making: implications for cognitive evolution and the transition to Homo. Philosophical Transactions of the Royal Society B 371(1698): 20150233.",Deep-time estimate expressed in years BP; point estimate used for modeling.,Time_label: ~2.5 Ma. Oldowan and early lithic traditions (approx.).
3,Control of Fire and Cooking,400000,700000,550000.0,years BP,"Rehder, J.E., 2000. Mastery and uses of fire in antiquity. McGill-Queen's University Press.","McLauchlan, K.K. et al., 2020. Fire as a fundamental ecological process: research advances and frontiers. Journal of Ecology 108(5): 2047–2069.",Deep-time estimate expressed in years BP; literature reports a range and both bounds are retained; median used for modeling.,Time_label: 700–400 ka. Range reflects debate on habitual fire use.
4,Projectile/Throwing Weapons,300000,300000,300000.0,years BP,"Hughes, S.S., 1998. Getting to the point: evolutionary change in prehistoric weaponry. Journal of Archaeological Method and Theory 5(4): 345–408.","Lombardo, M.P. & Deaner, R.O., 2018. Born to throw: the ecological causes that shaped the evolution of throwing in humans. The Quarterly Review of Biology 93(1): 1–16.",Deep-time estimate expressed in years BP; point estimate used for modeling.,Time_label: ~300 ka. Milestone centered on biomechanical/cognitive implications of accurate throwing.
5,"Symbolic Language, Art, and Shared Intentionality",30000,50000,40000.0,years BP,"Henshilwood, C.S. & Dubreuil, B., 2017. The Still Bay and Howiesons Poort, 77–59 ka: symbolic material culture and modern human origins. Current Anthropology 58(S16): S3–S27.","Finlayson, C., 2019. The smart Neanderthal: bird catching, cave art, and the cognitive revolution. Oxford University Press.",Deep-time estimate expressed in years BP; literature reports a range and both bounds are retained; median used for modeling.,Time_label: 50–30 ka. Approximate window for symbolic culture consolidation.
6,Neolithic Revolution (Agriculture),12025,12025,12025.0,years BP,"Bar-Yosef, O., 1998. On the nature of transitions: the Middle to Upper Palaeolithic and the Neolithic Revolution. Cambridge Archaeological Journal 8(2): 141–163.","Shavit, A. & Sharon, G., 2023. Can models of evolutionary transition clarify the debates over the Neolithic Revolution? Philosophical Transactions of the Royal Society B 378(1872): 20210413.","Calendar estimate in BCE converted to BP using Present_Year=2025 (BP≈2025 + BCE_year). Where a range is given, bounds reflect literature window; median used for modeling.","Time_label: ~10,000 BCE. Single-point approximation anchored at 10,000 BCE."
7,Formation of Cities and States,5025,6025,5525.0,years BP,"Ur, J.A., 2014. Households and the emergence of cities in ancient Mesopotamia. Cambridge University Press.","Jessop, B., 2016. The state: past, present, future. Polity.","Calendar estimate in BCE converted to BP using Present_Year=2025 (BP≈2025 + BCE_year). Where a range is given, bounds reflect literature window; median used for modeling.",Time_label: 4000–3000 BCE. Range reflects gradual urban/state formation across regions.
8,Invention of Writing,5125,5125,5125.0,years BP,"Senner, W.M. (Ed.), 1991. The origins of writing. University of Nebraska Press.","Schmandt-Besserat, D., 2018. The earliest precursor of writing. In Communication in History (pp. 5–14). Routledge.","Calendar estimate in BCE converted to BP using Present_Year=2025 (BP≈2025 + BCE_year). Where a range is given, bounds reflect literature window; median used for modeling.",Time_label: ~3100 BCE. Anchored on earliest Mesopotamian writing systems (approx.).
9,Axial Age Philosophical Breakthrough,2525,2625,2575.0,years BP,"Eisenstadt, S.N. (Ed.), 2012. The origins and diversity of axial age civilizations. SUNY Press.","Mullins, D.A. et al., 2018. A systematic assessment of “Axial Age” proposals using global comparative historical evidence. American Sociological Review 83(3): 596–626.","Calendar estimate in BCE converted to BP using Present_Year=2025 (BP≈2025 + BCE_year). Where a range is given, bounds reflect literature window; median used for modeling.",Time_label: 6th–5th century BCE. Century-based dating; modeled as a range.
10,Formation and Diffusion of World Religions,1325,2024,1674.5,years BP,"Bellah, R.N., 1970. Religious evolution. In Readings in Social Evolution and Development (pp. 211–244). Pergamon.","Masuzawa, T., 2024. The invention of world religions. University of Chicago Press.",Century-based estimate converted to BP using Present_Year=2025 (BP≈2025 + BCE_year). Bounds represent the century window; median used for modeling.,Time_label: 1st–7th century CE. Range captures formation + diffusion dynamics across Eurasia.
11,Newton's Laws of Motion,338,338,338.0,years BP,"McIntyre, J. et al., 2001. Does the brain model Newton's laws? Nature Neuroscience 4(7): 693–694.","Susskind, L., 2020. Complexity and Newton's laws. Frontiers in Physics 8: 262.",Calendar estimate in CE converted to BP using Present_Year=2025 (BP=2025−CE_year). Point estimate anchored on canonical publication year.,Time_label: 1687 CE. Anchored on Principia (1687) as canonical publication date.
12,Quantum Mechanics,125,125,125.0,years BP,"Messiah, A., 2014. Quantum mechanics. Courier Corporation.","Sakurai, J.J. & Napolitano, J., 2020. Modern quantum mechanics. Cambridge University Press.",Calendar estimate in CE converted to BP using Present_Year=2025 (BP=2025−CE_year). Point estimate anchored on canonical publication year.,Time_label: ~1900 CE. Anchored on early 20th-century onset (Planck era).
13,Computer/Digital Revolution,35,55,45.0,years BP,"Sichel, D.E., 1997. The computer revolution: an economic perspective. Brookings Institution Press.","Sloman, A., 2019. What else is there besides digital computation? In The Turing Guide (pp. 291–312). Oxford University Press.",Era-labeled milestone operationalized as 1970–1990 CE; converted to BP with Present_Year=2025 (BP=2025−year). Range bounds reflect the operational window; median used for modeling.,Time_label: Late 20th Century. Broad-century label operationalized as 1970–1990 (microprocessor-to-personal computing era).
14,Artificial Intelligence Revolution (Early Stage),5,15,10.0,years BP,"Makridakis, S., 2017. The forthcoming Artificial Intelligence (AI) revolution: its impact on society and firms. Futures 90: 46–60.","Afjal, M. et al., 2025. Artificial intelligence in robotics: a comprehensive review. Artificial Intelligence Review 58(2): 132.",Operationalized within the manuscript's '21st Century (Early Stage)' label: mapped to 2010–2020 CE for numeric BP conversion under Present_Year_for_BP=2025; median used for modeling; adjust bounds if a different operational window is adopted.,"Time_label: 21st Century (Early Stage). Numeric window set to 2010–2020 to avoid conflating the literature-review horizon (2019–2025) or the BP reference year (2025) with a milestone date. Note: the ~2035±W window reported in the paper is a model-extrapolated *future* transition window, not an input node timestamp."
